step,action,eef_pos,obj_pos,eef_abstract_state,obj_abstract_state,grid_half_size
95,[0.   0.   0.15 0.   0.   0.   1.  ],[-0.16765336  0.00160548  0.93701639  1.        ],[-1.70003629e-01  8.50474210e-04  9.35198396e-01],1,1,[0.25 0.25 0.05]
96,[0.   0.   0.15 0.   0.   0.   1.  ],[-0.16797158  0.00162326  0.9387941   1.        ],[-1.70320750e-01  8.67917776e-04  9.36976701e-01],1,1,[0.25 0.25 0.05]
97,[0.   0.   0.15 0.   0.   0.   1.  ],[-0.16823682  0.00164538  0.94060289  1.        ],[-1.70584937e-01  8.89694716e-04  9.38786154e-01],1,1,[0.25 0.25 0.05]
98,[0.   0.   0.15 0.   0.   0.   1.  ],[-0.16845653  0.00167198  0.94243845  1.        ],[-1.70803561e-01  9.15961173e-04  9.40622360e-01],1,1,[0.25 0.25 0.05]
99,[0.   0.   0.15 0.   0.   0.   1.  ],[-0.16863837  0.00170312  0.9442963   1.        ],[-0.17098426  0.00094678  0.94248078],1,1,[0.25 0.25 0.05]
100,[0.   0.   0.15 0.   0.   0.   1.  ],[-0.16878979  0.00173877  0.94617208  1.        ],[-0.17113445  0.00098211  0.944357  ],1,1,[0.25 0.25 0.05]
101,[0.   0.   0.15 0.   0.   0.   1.  ],[-0.16891765  0.00177917  0.94806171  1.        ],[-0.17126097  0.00102217  0.94624694],1,1,[0.25 0.25 0.05]
102,[0.   0.   0.15 0.   0.   0.   1.  ],[-0.16902802  0.0018242   0.94996158  1.        ],[-0.17136987  0.00106679  0.94814696],1,1,[0.25 0.25 0.05]
103,[0.   0.   0.15 0.   0.   0.   1.  ],[-0.16912613  0.00187304  0.95186857  1.        ],[-0.17146639  0.0011152   0.95005396],1,1,[0.25 0.25 0.05]
104,[0.   0.   0.15 0.   0.   0.   1.  ],[-0.16921632  0.00192534  0.95378008  1.        ],[-0.17155489  0.00116704  0.95196535],1,1,[0.25 0.25 0.05]
105,[0.   0.   0.15 0.   0.   0.   1.  ],[-0.16930203  0.00198027  0.95569405  1.        ],[-0.17163882  0.00122151  0.95387907],1,1,[0.25 0.25 0.05]
106,[0.   0.   0.15 0.   0.   0.   1.  ],[-0.16938593  0.00203714  0.95760887  1.        ],[-0.17172086  0.00127792  0.95579355],1,1,[0.25 0.25 0.05]
107,[0.   0.   0.15 0.   0.   0.   1.  ],[-0.16946994  0.00209541  0.95952339  1.        ],[-0.17180295  0.00133572  0.95770763],1,1,[0.25 0.25 0.05]
108,[0.   0.   0.15 0.   0.   0.   1.  ],[-0.16955539  0.00215463  0.9614368   1.        ],[-0.17188643  0.00139446  0.95962053],1,1,[0.25 0.25 0.05]
109,[0.   0.   0.15 0.   0.   0.   1.  ],[-0.16964309  0.00221437  0.96334859  1.        ],[-0.17197212  0.00145375  0.96153176],1,1,[0.25 0.25 0.05]
110,[0.   0.   0.15 0.   0.   0.   1.  ],[-0.16973346  0.00227458  0.96525853  1.        ],[-0.17206048  0.00151353  0.96344109],1,1,[0.25 0.25 0.05]
111,[0.   0.   0.15 0.   0.   0.   1.  ],[-0.1698266   0.00233523  0.96716656  1.        ],[-0.17215159  0.00157379  0.96534848],1,1,[0.25 0.25 0.05]
112,[0.   0.   0.15 0.   0.   0.   1.  ],[-0.16992237  0.00239636  0.96907276  1.        ],[-0.17224534  0.00163456  0.96725401],1,1,[0.25 0.25 0.05]
113,[0.   0.   0.15 0.   0.   0.   1.  ],[-0.17002058  0.00245919  0.97097734  1.        ],[-0.17234155  0.00169718  0.9691579 ],1,1,[0.25 0.25 0.05]
114,[0.   0.   0.15 0.   0.   0.   1.  ],[-0.17012093  0.00252431  0.97288054  1.        ],[-0.17243996  0.00176221  0.97106041],1,1,[0.25 0.25 0.05]
115,[0.   0.   0.15 0.   0.   0.   1.  ],[-0.17022302  0.00259239  0.97478263  1.        ],[-0.17254015  0.00183032  0.97296179],1,1,[0.25 0.25 0.05]
116,[0.   0.   0.15 0.   0.   0.   1.  ],[-0.17032641  0.00266333  0.97668388  1.        ],[-0.17264166  0.00190138  0.97486231],1,1,[0.25 0.25 0.05]
117,[0.   0.   0.15 0.   0.   0.   1.  ],[-0.17043068  0.00273329  0.97858454  1.        ],[-0.17274408  0.00197154  0.97676226],1,1,[0.25 0.25 0.05]
118,[0.   0.   0.15 0.   0.   0.   1.  ],[-0.17053551  0.00280214  0.98048486  1.        ],[-0.17284706  0.00204059  0.97866186],1,1,[0.25 0.25 0.05]
119,[0.   0.   0.15 0.   0.   0.   1.  ],[-0.17064047  0.00287009  0.98238502  1.        ],[-0.17295016  0.00210864  0.98056131],1,1,[0.25 0.25 0.05]
120,[0.   0.   0.15 0.   0.   0.   1.  ],[-0.17074515  0.00293741  0.98428522  1.        ],[-0.17305295  0.00217592  0.98246079],1,1,[0.25 0.25 0.05]
121,[0.   0.   0.15 0.   0.   0.   1.  ],[-0.17084922  0.00300406  0.98618562  1.        ],[-0.17315511  0.00224244  0.98436048],1,1,[0.25 0.25 0.05]
122,[0.   0.   0.15 0.   0.   0.   1.  ],[-0.17095245  0.00306986  0.98808639  1.        ],[-0.1732564   0.00230802  0.98626054],1,1,[0.25 0.25 0.05]
123,[0.   0.   0.15 0.   0.   0.   1.  ],[-0.17105465  0.00313447  0.98998766  1.        ],[-0.17335667  0.00237237  0.9881611 ],1,1,[0.25 0.25 0.05]
124,[0.   0.   0.15 0.   0.   0.   1.  ],[-0.17115573  0.00319746  0.99188953  1.        ],[-0.17345581  0.00243507  0.99006225],1,1,[0.25 0.25 0.05]
125,[0.   0.   0.15 0.   0.   0.   1.  ],[-0.17125561  0.0032587   0.99379208  1.        ],[-0.17355375  0.00249599  0.99196407],1,1,[0.25 0.25 0.05]
126,[0.   0.   0.15 0.   0.   0.   1.  ],[-0.17135482  0.0033278   0.99569532  1.        ],[-0.173651    0.00256472  0.99386656],1,1,[0.25 0.25 0.05]
127,[0.   0.   0.15 0.   0.   0.   1.  ],[-0.17145455  0.00340007  0.99759889  1.        ],[-0.17374877  0.00263664  0.99576937],1,1,[0.25 0.25 0.05]
128,[0.   0.   0.15 0.   0.   0.   1.  ],[-0.17155485  0.00346391  0.99950248  1.        ],[-0.1738471   0.00270014  0.99767219],1,1,[0.25 0.25 0.05]
129,[0.   0.   0.15 0.   0.   0.   1.  ],[-0.17165558  0.00351941  1.00140596  1.        ],[-0.17394587  0.00275526  0.99957488],1,1,[0.25 0.25 0.05]
130,[0.   0.   0.15 0.   0.   0.   1.  ],[-0.17175669  0.00356805  1.00330924  1.        ],[-0.17404501  0.00280351  1.00147738],1,1,[0.25 0.25 0.05]
131,[0.   0.   0.15 0.   0.   0.   1.  ],[-0.17185804  0.00361169  1.00521233  1.        ],[-0.17414439  0.00284676  1.00337966],1,1,[0.25 0.25 0.05]
132,[0.   0.   0.15 0.   0.   0.   1.  ],[-0.17195944  0.00365241  1.00711528  1.        ],[-0.17424383  0.00288708  1.00528179],1,1,[0.25 0.25 0.05]
133,[0.   0.   0.15 0.   0.   0.   1.  ],[-0.17206062  0.00369239  1.00901819  1.        ],[-0.17434304  0.00292668  1.00718388],1,1,[0.25 0.25 0.05]
134,"[ 0.20100928 -0.10109534  0.          0.          0.          0.
  1.        ]",[-0.1708903   0.00320555  1.01002361  1.        ],[-0.17317328  0.00244391  1.00818857],1,1,[0.25 0.25 0.05]
135,"[ 0.20098496 -0.1011437   0.          0.          0.          0.
  1.        ]",[-0.16848288  0.00236106  1.01025909  1.        ],[-0.17076678  0.00160193  1.00842372],1,1,[0.25 0.25 0.05]
